"common_features" "marker.ident"
"otofb" "early-HC"
"atp1b2b" "early-HC"
"atoh1b" "early-HC"
"tekt3" "mature-HC"
"atoh1a" "early-HC"
"her4.1" "prog-HC"
"hes2.2" "prog-HC"
"dld" "prog-HC"
"sox4a*1" "prog-HC"
"myclb" "early-HC"
"gadd45gb.1" "prog-HC"
"insm1a" "prog-HC"
"pcdh18b" "prog-HC"
"dla" "prog-HC"
"her4.2*1" "prog-HC"
"her4.2" "prog-HC"
"tox" "early-HC"
"wnt2" "D/V Pole"
"sost" "D/V Pole"
"mcama" "Mantle"
"tspan1" "Mantle"
"sfrp1a" "Mantle"
"pcna" "Amplifying Support"
"mki67" "Amplifying Support"
"isl1" "Central"
"slc1a3a" "Central"
"glula" "Central"
"lfng" "Central"
"cbln20" "Central"
"ebf3a" "Central"
"znf185" "AP Pole"
"si:ch211-229d2.5" "AP Pole"
"si:ch73-261i21.5" "AP Pole"
"spaca4l" "Common neuromast cell types"
"foxp4" "Interneuromast"
"crip1" "Interneuromast/Mantle"
