"Gene.name.uniq"	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"Gene.stable.ID"	"Gene.name"	"ZFIN.ID"	"Gene.description"	"Source.of.gene.name"
"foxp4"	1.06498383042075e-31	-1.8648956433848	0.084	0.359	2.72870157030404e-27	"0"	"ENSDARG00000076120"	"foxp4"	"https://zfin.org/ZDB-GENE-101207-1"	"forkhead box P4 [Source:ZFIN;Acc:ZDB-GENE-101207-1]"	"ZFIN"
"igfbp5b"	5.71913636905538e-32	-1.67818025812808	0.079	0.359	1.46535712047937e-27	"0"	"ENSDARG00000025348"	"igfbp5b"	"https://zfin.org/ZDB-GENE-040319-2"	"insulin-like growth factor binding protein 5b [Source:ZFIN;Acc:ZDB-GENE-040319-2]"	"ZFIN"
"celsr1b"	1.72490826013708e-21	-1.65211292950224	0.026	0.224	4.41955994412323e-17	"0"	"ENSDARG00000058259"	"celsr1b"	"https://zfin.org/ZDB-GENE-050823-4"	"cadherin EGF LAG seven-pass G-type receptor 1b [Source:ZFIN;Acc:ZDB-GENE-050823-4]"	"ZFIN"
"tspan1"	6.50344179964138e-22	-1.61194425302114	0.033	0.237	1.66631185790411e-17	"0"	"ENSDARG00000052027"	"tspan1"	"https://zfin.org/ZDB-GENE-070502-5"	"tetraspanin 1 [Source:ZFIN;Acc:ZDB-GENE-070502-5]"	"ZFIN"
"fat1b"	1.00075210788605e-25	-1.41433902491073	0.084	0.33	2.56412705082564e-21	"0"	"ENSDARG00000019063"	"fat1b"	"https://zfin.org/ZDB-GENE-130530-563"	"FAT atypical cadherin 1b [Source:ZFIN;Acc:ZDB-GENE-130530-563]"	"ZFIN"
"sfrp1a"	1.82582455731279e-17	-1.28357573865051	0.007	0.164	4.67812768074683e-13	"0"	"ENSDARG00000035521"	"sfrp1a"	"https://zfin.org/ZDB-GENE-040310-5"	"secreted frizzled-related protein 1a [Source:ZFIN;Acc:ZDB-GENE-040310-5]"	"ZFIN"
"sulf1"	1.321377978432e-13	-1.14006178813352	0.041	0.181	3.38563465633847e-09	"0"	"ENSDARG00000038428"	"sulf1"	"https://zfin.org/ZDB-GENE-030131-9242"	"sulfatase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9242]"	"ZFIN"
"mcama"	2.79227612404631e-16	-1.11078661559832	0.038	0.204	7.15436988503146e-12	"0"	"ENSDARG00000089643"	"mcama"	"https://zfin.org/ZDB-GENE-090218-29"	"melanoma cell adhesion molecule a [Source:ZFIN;Acc:ZDB-GENE-090218-29]"	"ZFIN"
"marcksl1a"	8.27965070158553e-11	-1.10991008905527	0.022	0.129	2.12141210276025e-06	"0"	"ENSDARG00000039034"	"marcksl1a"	"https://zfin.org/ZDB-GENE-040426-2146"	"MARCKS-like 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2146]"	"ZFIN"
"tfap2a"	1.0424598342776e-24	-1.0875931960005	0.148	0.394	2.67099058738607e-20	"0"	"ENSDARG00000059279"	"tfap2a"	"https://zfin.org/ZDB-GENE-011212-6"	"transcription factor AP-2 alpha [Source:ZFIN;Acc:ZDB-GENE-011212-6]"	"ZFIN"
"nanos1"	1.18447390736795e-09	-0.898153667159462	0.062	0.175	3.03485904545816e-05	"0"	"ENSDARG00000109337"	"nanos1"	"https://zfin.org/ZDB-GENE-030131-1623"	"nanos homolog 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1623]"	"ZFIN"
"dag1"	5.12436496937539e-09	-0.852443099291888	0.062	0.171	0.000131296479245336	"0"	"ENSDARG00000016153"	"dag1"	"https://zfin.org/ZDB-GENE-021223-1"	"dystroglycan 1 [Source:ZFIN;Acc:ZDB-GENE-021223-1]"	"ZFIN"
"wu:fj16a03"	5.39215628778771e-08	-0.850479657899776	0.179	0.29	0.00138157828405697	"0"	"ENSDARG00000100952"	"wu:fj16a03"	"https://zfin.org/ZDB-GENE-030131-7415"	"wu:fj16a03 [Source:ZFIN;Acc:ZDB-GENE-030131-7415]"	"ZFIN"
"srgap1a"	4.04941885166161e-09	-0.790978595099984	0.038	0.141	0.000103754209817274	"0"	"ENSDARG00000007461"	"srgap1a"	"https://zfin.org/ZDB-GENE-050420-284"	"SLIT-ROBO Rho GTPase activating protein 1a [Source:ZFIN;Acc:ZDB-GENE-050420-284]"	"ZFIN"
"crip1"	1.32375818151673e-07	-0.728078786910208	0.045	0.137	0.00339173321268217	"0"	"ENSDARG00000053858"	"crip1"	"https://zfin.org/ZDB-GENE-041111-1"	"cysteine-rich protein 1 [Source:ZFIN;Acc:ZDB-GENE-041111-1]"	"ZFIN"
"gas1a"	2.30868546237478e-07	-0.720158024872267	0.033	0.116	0.00591531389169665	"0"	"ENSDARG00000077298"	"gas1a"	"https://zfin.org/ZDB-GENE-050302-155"	"growth arrest-specific 1a [Source:ZFIN;Acc:ZDB-GENE-050302-155]"	"ZFIN"
"krt18a.1"	2.44632713422689e-06	-0.701326979913531	0.055	0.136	0.0626797938331613	"0"	"ENSDARG00000018404"	"krt18a.1"	"https://zfin.org/ZDB-GENE-030411-6"	"keratin 18a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030411-6]"	"ZFIN"
"net1"	3.76008764146816e-08	-0.692002973000181	0.115	0.228	0.000963409655496973	"0"	"ENSDARG00000032765"	"net1"	"https://zfin.org/ZDB-GENE-041121-18"	"neuroepithelial cell transforming 1 [Source:ZFIN;Acc:ZDB-GENE-041121-18]"	"ZFIN"
"tmem132e"	6.9031088974045e-09	-0.691137429322766	0.065	0.175	0.000176871456169298	"0"	"ENSDARG00000090830"	"tmem132e"	"https://zfin.org/ZDB-GENE-120926-3"	"transmembrane protein 132E [Source:ZFIN;Acc:ZDB-GENE-120926-3]"	"ZFIN"
"ezra"	6.04179739459328e-07	-0.675800105001688	0.041	0.124	0.0154802932844269	"0"	"ENSDARG00000020944"	"ezra"	"https://zfin.org/ZDB-GENE-050522-18"	"ezrin a [Source:ZFIN;Acc:ZDB-GENE-050522-18]"	"ZFIN"
"fat2"	4.66449884174889e-06	-0.670792836747146	0.033	0.103	0.11951378932329	"0"	"ENSDARG00000018923"	"fat2"	"https://zfin.org/ZDB-GENE-111031-1"	"FAT atypical cadherin 2 [Source:ZFIN;Acc:ZDB-GENE-111031-1]"	"ZFIN"
"map7d3"	2.15262146808485e-06	-0.666547150454013	0.105	0.194	0.0551544672552701	"0"	"ENSDARG00000060771"	"map7d3"	"https://zfin.org/ZDB-GENE-121129-3"	"MAP7 domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-121129-3]"	"ZFIN"
"itgb6"	3.0732605574189e-06	-0.641626714166535	0.038	0.112	0.0787430820021872	"0"	"ENSDARG00000002494"	"itgb6"	"https://zfin.org/ZDB-GENE-100812-2"	"integrin, beta 6 [Source:ZFIN;Acc:ZDB-GENE-100812-2]"	"ZFIN"
"BX322530.1"	1.86720956375962e-06	-0.629861772107194	0.057	0.141	0.047841643442649	"0"	"ENSDARG00000088741"	"BX322530.1"	"https://zfin.org/"	""	"Clone-based (Ensembl) gene"
"bcl2a"	2.91031522545262e-06	-0.62585570627958	0.036	0.108	0.0745680967065471	"0"	"ENSDARG00000094704"	"bcl2a"	"https://zfin.org/ZDB-GENE-051012-1"	"BCL2 apoptosis regulator a [Source:ZFIN;Acc:ZDB-GENE-051012-1]"	"ZFIN"
"gdpd2"	4.87715767145534e-06	-0.602741037348308	0.065	0.146	0.124962533858029	"0"	"ENSDARG00000073870"	"gdpd2"	"https://zfin.org/ZDB-GENE-081107-62"	"glycerophosphodiester phosphodiesterase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-081107-62]"	"ZFIN"
"jun"	3.46889491605528e-05	-0.588357500130682	0.041	0.103	0.888800255391683	"0"	"ENSDARG00000043531"	"jun"	"https://zfin.org/ZDB-GENE-030131-7859"	"Jun proto-oncogene, AP-1 transcription factor subunit [Source:ZFIN;Acc:ZDB-GENE-030131-7859]"	"ZFIN"
"krt8"	2.29711251452145e-07	-0.580373855593459	0.234	0.346	0.00588566168470687	"0"	"ENSDARG00000058358"	"krt8"	"https://zfin.org/ZDB-GENE-030411-5"	"keratin 8 [Source:ZFIN;Acc:ZDB-GENE-030411-5]"	"ZFIN"
"slc38a5b"	2.01567447110551e-06	-0.562181514632552	0.084	0.174	0.0516456112986653	"0"	"ENSDARG00000014587"	"slc38a5b"	"https://zfin.org/ZDB-GENE-040718-395"	"solute carrier family 38 member 5b [Source:ZFIN;Acc:ZDB-GENE-040718-395]"	"ZFIN"
"cd81a"	7.56580389117064e-06	-0.55969770970171	0.036	0.106	0.193851027299574	"0"	"ENSDARG00000036080"	"cd81a"	"https://zfin.org/ZDB-GENE-000831-5"	"CD81 molecule a [Source:ZFIN;Acc:ZDB-GENE-000831-5]"	"ZFIN"
"igf1rb"	0.00010486961014635	-0.555308341229105	0.091	0.159	1	"0"	"ENSDARG00000034434"	"igf1rb"	"https://zfin.org/ZDB-GENE-020503-2"	"insulin-like growth factor 1b receptor [Source:ZFIN;Acc:ZDB-GENE-020503-2]"	"ZFIN"
"ccng2"	1.8301531780421e-05	-0.551863559512384	0.055	0.127	0.468921847277948	"0"	"ENSDARG00000017602"	"ccng2"	"https://zfin.org/ZDB-GENE-021016-1"	"cyclin G2 [Source:ZFIN;Acc:ZDB-GENE-021016-1]"	"ZFIN"
"CU693481.1"	7.44329570281076e-05	-0.544351941480936	0.057	0.121	1	"0"	"ENSDARG00000108006"	"CU693481.1"	"https://zfin.org/"	"fibronectin type III domain-containing protein 7-like [Source:NCBI gene;Acc:101886366]"	"Clone-based (Ensembl) gene"
"qkia"	4.86983635805329e-05	-0.53453791717136	0.074	0.144	1	"0"	"ENSDARG00000097478"	"qkia"	"https://zfin.org/ZDB-GENE-990415-230"	"QKI, KH domain containing, RNA binding a [Source:ZFIN;Acc:ZDB-GENE-990415-230]"	"ZFIN"
"zgc:194398"	6.50406322623585e-06	-0.514477708476217	0.108	0.199	0.166647107982615	"0"	"ENSDARG00000078250"	"zgc:194398"	"https://zfin.org/ZDB-GENE-081022-111"	"zgc:194398 [Source:ZFIN;Acc:ZDB-GENE-081022-111]"	"ZFIN"
"pmp22a"	5.13296810928049e-05	-0.505863178654886	0.122	0.203	1	"0"	"ENSDARG00000105223"	"pmp22a"	"https://zfin.org/ZDB-GENE-030131-6757"	"peripheral myelin protein 22a [Source:ZFIN;Acc:ZDB-GENE-030131-6757]"	"ZFIN"
